repo_name,no_of_contributions
gcp-infra,10
gcp-ingestion,1025
gecko-dev,250031
gecko-projects,4
geckodriver,387
geckoview,112
gelato.admin,10
generator-recroom,52
geodude,14
geoip_server,2
get-synced,21
getanaccount,81
gigabit-website-redirects,2
git-auto-updater,11
git-bz-moz,267
git-repo,526
github-bugzilla-pr-linker,71
github-org-scripts,124
gitribution,37
glean,3927
glean_parser,673
global-sprint,415
gmp-api,19
gofaster,128
goggles.mozilla.org,562
gombot,113
gombot-chrome,303
gombot-ios,4
gozdef,8
gpg.mozilla.org,33
graphs,631
grcov,680
grunt-acidity,1
grunt-i18n-abide,144
grunt-l10n-lint,11
gspeech,17
guardDuty2MozDef,4
guardduty-multi-account-manager,95
guineapig,2
gzipServer,13
hackablegames,7
haiku-gaia-experiments,39067
hapi-fxa-oauth,19
happyforms,2
hardhat,3
hawk,157
heatmap,133
heavy-profile,92
heka-sqs,12
hello-tests,49
helpdesk-wp,1
hera,13
heroku-buildpack-apt,20
hg2github,26
high-fidelity,349
hive-chicago-buzz,124
hive-django,398
hivelearningnetworks.org,134
holodeck,1
home-snippets-server,71
home-snippets-server-lib,5
home-snippets-switcher,8
homebrew-mozreport,2
hookshot,54
hotdish,490
html-presentation-templates,54
html5-lint,45
htmlsanitizer.org,10
http-mx,10
http-observatory,648
http-observatory-cli,17
http-observatory-dashboard,86
http-observatory-website,380
http-server,252
http_helper,3
httpfs,27
httpfslib,18
hubs,9704
hubs-ops,1401
hungry-js,4
i18n-abide,153
iacomus,40
iacomus-alerts,13
ichnaea,4263
icongrid,11
id-specs,14
id.webmaker.org,375
idea-town-addon,34
idea-town-app,8
idea-town-meta,4
identity-ops,475
identity-pubkeys,93
iheartopendata.org,74
ihr-landing-site,22
ikran,257
inclusion,358
inclusive-space-toolkit,24
inferno,53
infernyx,368
infosec-risk-management,2
infosec-risk-management-bugzilla,74
infosec.mozilla.org,240
infra-x-design,4
inhuman-ads-webext,21
inneractive,45
innovation-toolkit,41
input-lib,62
input-tests,368
input.mozilla.org,554
integration-mozilla-inbound,61945
interest-dashboard,710
internet-health-report,21
inv-tool,229
inventory,1667
ipquest,54
iraas,1
irc-iplimit,28
iris,379
iris_firefox,2090
irlpodcast,368
ispdb,166
itisatrap,33
janus-addon,14
janus-eventhandler-sqlite,11
janus-image-worker,17
janus-plugin-rs,146
janus-plugin-sfu,314
jekyll-offline,3
jestr-pioneer-shield-study,485
jira-integration,1
jmeter-scripts,6
jschannel,109
jsmodules,80
json-hyperschemas,8
jsonschema-transpiler,351
jsxgettext,274
jsxgettext-recursive,27
jugband-react,28
jupyter-notebook-gist,195
jupyter-spark,105
jx-sqlite,461
jydoop,158
k-randomization,4
kaldi,5968
kaldi-gstreamer-server,152
kanbanzilla,159
kanbugger,50
kenlm,2130
kitchensinkserver,144
kitsune,7244
knowledge-repo,153
kpi-dashboard,169
kpiggybank,97
kubernetes-deployment,26
kuma-lib,140
labs-acm,157
labs-vcap,598
labs-vcap-java,26
labs-vcap-services,167
labs-vcap-tests,94
labs-vcap-uaa,483
language-mapping-list,68
launcher,317
layerscope,58
leaderboard_backend,60
leadership-toolkit,39
leadership-training,242
lean-data-practices,16
lean-data-practices-cso,4
learning-api,13
learning-networks,362
learning.mozilla.org,2584
learnyx,6
legacy-browser-support,47
legal-docs,3323
leisure,18
libadb.js,65
libaudit-go,233
libdmg-hfsplus,69
libdweb,205
libmozdata,931
libnfldap,32
libprio,99
lightbeam,840
lightbeam-db-server,162
lightbeam-we,168
lightbeam-website,236
lmdb,1179
lmdb-rs,300
loady,14
loci,30
locompleter,5
login.webmaker.org,659
london-events-presentation,1
loop,1549
loop-client,685
loop-client-l10n,1551
loop-test,1024
lorax,559
luciddream,14
lumbergh-lib,22
lumberyard,56
m-response,660
m-response-api,14
macos-desktop,12
magdalena,103
maintainer-cohort,27
make-valet,163
make.mozilla.org,1194
makeapi-client,18
makeapi-docs,2
makedrive,457
makerparty,291
makerparty-heatmap,6
makerstrap,146
marketing,1
marketing-analytics,184
marketing-project-template,37
marketplace-api-mock,169
marketplace-certs,12
marketplace-constants,103
marketplace-content-tools,377
marketplace-core-css,1
marketplace-core-modules,148
marketplace-ctf,2
marketplace-docs,121
marketplace-elements,102
marketplace-env,127
marketplace-frontend-docs,64
marketplace-gulp,129
marketplace-jquery,2
marketplace-loadtest,89
marketplace-operator-dashboard,89
marketplace-stats,651
marketplace-style-guide,115
marketplace-template,96
marketplace-tests,938
marketplace-tests-gaia,151
marketplay,25
marketpulse,244
markup,97
markup-lib,1
marytts,2615
masche,202
masterfirefoxos,497
masterfirefoxos-l10n,1117
matchpoint,20
mattermost-heroku,27
mattermost-integration-giphy,11
mciconf,15
mcom-tests,907
mdn-devtool,38
mdn-tests,194
mdv2-prototype,150
meao,199
measure-noise,99
mediawiki-bugzilla,163
medlem,14
medusa,123
megazord-gradle,6
memchaser,208
mentat,894
metrics-aws-clusters,15
mic,28
micro-email-validator,9
mig,1225
mig-deploy,12
mig-sandbox,19
migfw,52
minijanus.js,77
minion,52
minion-backend,334
minion-core,12
minion-frontend,175
minion-frontend-old,3
minion-garmr-plugin,5
minion-nmap-plugin,45
minion-skipfish-plugin,11
minion-ssl-plugin,9
minion-vm,43
minion-zap-plugin,26
minion-zest-plugin,2
miracle,287
missioncontrol,375
mixed-content-tests,16
mobile-opportunity,29
mobile-phonebook,34
mocoda,14
mod_authnz_persona,142
mod_browserid,10
mofactor-template,3
mofo-2016,1
mofo-allhands,78
mofo-allhands-event-app-data-processor,73
mofo-bootstrap,115
mofo-campaignurl,13
mofo-cms-experiment,30
mofo-deprecation,14
mofo-metrics,1
mofo-phantom,11
mofo-redirector,66
